pathway	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
PWY-5898	19562.160640707178	26851.508972874297	8998.149355392356	11085.85770944264	11420.37925006791	6149.858640505102	9456.599103020964	3506.5815722455086	7703.961472467124	7999.773921046091	12703.543145221769	2700.662628134056	9089.892515076877	10876.23274815438	11292.040051032352
PWY-5899	19562.160640707178	26851.508972874297	8998.149355392356	11085.85770944264	11420.37925006791	6149.858640505102	9456.599103020964	3506.5815722455086	7703.961472467124	7999.773921046091	12703.543145221769	2700.662628134056	9089.892515076877	10876.23274815438	11292.040051032352
PWY-5910	3608.7013758810594	152.9043510392794	1240.1188113361168	418.8704210378438	806.882626529087	2964.8257777089557	13165.611032052437	2250.8979152766024	267.6251174019138	616.6023544094224	510.5320204471168	1522.2274664227732	1257.0931097712103	521.0074564712941	1308.5096687508692
PWY-5913	14740.327365882476	19184.40406798562	18240.106750123698	23693.382523962046	13331.242934092725	16357.943514648316	7283.701676379806	14705.498009756566	9518.830964135572	25935.723497352028	16676.18041133257	24196.21322072817	33686.37401700482	11437.623744495062	20036.08068783973
PWY-5918	17039.918945401594	15531.40400060689	6928.304782706845	4323.997348955865	8861.65980350908	4736.7982784559645	7485.798102759941	1878.0093039865058	4342.9180921551815	6759.3906281664695	8727.403049670389	1889.4148774146183	3570.363386249194	6831.639147507422	8317.645764917628
PWY-5920	975.1787223184878	3875.7857766768257	3769.6400217535643	944.1573204709227	6589.881848363473	972.1977138248338	142.21170521877914	1279.8188355483999	2283.202613508776	352.6788961713416	5815.5000028610975	344.8780367881784	796.501956162169	2865.5600938133625	6629.749494939446
PWY-5971	1449.1224229655918	4574.077626451587	4900.015604334008	9758.717883167094	13266.848271910923	6700.499705734517	12854.223914999262	5033.469675819302	5864.842438984033	2207.765827816512	9678.567567895801	900.2561499469931	1173.6991209431478	9201.90047961491	13316.75503151502
PWY-5973	21542.745694721034	39500.50581149032	9012.715284733615	28453.91186277086	16532.880722151578	6278.837144503303	25497.58814211267	5199.396787657067	14730.720958017535	8299.19357544916	15944.696656016555	3610.056442339582	28974.987578018754	12850.089602427783	16778.98993158688
PWY-5989	907.2402568373366	4438.949339254307	4126.775982733811	9511.83763074939	15552.298589858105	6745.91468456779	7632.545503797952	5200.172203658509	5578.964002602958	1598.9087486568944	10368.714408941472	615.9522087155906	746.4986797448435	10308.611059332427	14409.894388159799
PWY-6071	351.1098970082049	1527.1922064343214	1968.7793903426145	2684.03288268093	2038.8056359082168	3760.444769287163	4959.493621452185	1362.0570839902607	1762.5223956070158	19.82943844310207	5599.227299709193	45.207183199657734	318.2355208919087	1372.7382550225084	2497.0659562633373
PWY-6107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6121	33342.72818211814	44954.30362515608	24458.19996618788	29554.43972127536	19038.6338778627	20688.323524852414	26637.00763374663	17307.29391447513	13543.06293210888	32146.591781952153	24764.860377667377	26617.992682439086	42607.658179550206	20675.20246229526	25938.702318123833
PWY-6122	33456.66677606255	42609.4167259819	24185.15455376449	27777.504103905794	18191.722683754568	20195.453201606513	26911.261893261613	16996.612116012402	13548.579879304763	32129.840983586746	23965.68950709043	26609.870763144467	42086.8123632146	19970.996795674055	25129.35214935846
PWY-6123	32345.172023001018	43215.04827624567	24123.279117244667	27417.84219078153	18109.559364779027	19148.949871607943	21089.77068944022	16954.061029045868	11919.217576567402	31744.486215569454	22783.17733190358	26431.268197877285	38562.33906540356	20094.80194356223	24851.767746515437
PWY-6125	28224.888195575593	39726.78269378124	15440.126734948968	24124.101457670604	16709.331725371478	12916.261147152494	11012.13978273661	9327.726815255039	11501.2770939362	15207.839406878587	19492.802919261656	7506.533429477002	32041.32612880799	17127.56780850761	19399.448053076736
PWY-6126	37833.440600538976	46373.4653656882	28288.13081196457	29144.010865762208	21711.574402282975	23202.15882058484	27418.75965021418	19584.076108976475	14199.629273780269	37532.50614810802	27438.489695996952	30823.94049416866	42647.8295619147	22317.214800331094	29657.546172465907
PWY-6147	21825.969566134518	35758.48402415078	11465.635453811032	23738.242192965477	12816.155741091881	9459.615549606362	5492.646705182881	7910.238938797318	10153.258807155074	10892.8995253655	15041.426095212166	6197.701106903368	28873.983289082204	13982.899458282289	17850.742209165397
PWY-6151	21758.939262130312	29776.51669584789	21094.03933220142	20800.45046235419	16760.139610998456	19256.141402436333	22344.35334003345	15687.99985676976	7050.418755173822	28998.151176272942	19364.99966575969	25401.51267234273	19573.664683407365	15308.744538470555	23237.637032575643
PWY-6163	34513.26712038378	40838.29051853239	25075.598245977533	25699.482139629763	19372.56220797152	19583.26425573691	22468.440253533303	16949.34715753914	13250.826811308505	32858.80898651053	23937.11512907092	26720.12250639206	37384.8142815891	19897.470634301982	26628.463574768288
